Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
1025 S 9th St,Manitowoc,United States,Manitowoc,"Manitowoc, WI",Manitowoc County Sheriff's Office,50,9206834200,"79,175",Wisconsin,Sheriffs Departments,http://www.co.manitowoc.wi.us/departments/sheriff/,54220,,
101 N. West St.,Waukegan,United States,USA,"Waukegan, IL",Waukegan Police Department,151,847-599-2608,"87,729",Illinois,Police Departments,https://www.waukeganil.gov/,60085,847-360-0587,
330 Park Avenue,Fort Lupton,United States,Adams,"Fort Lupton, CO",Colorado Rangers (CLER),100,303-502-2671,1M+,Colorado,Police Departments,https://ColoradoRangers.org,80621,,
120 Hooper Ave,Toms River,United States,Ocean,"Toms River, NJ",Ocean County Sheriff's Office,140,(732)929-2044,"600,000",New Jersey,Sheriffs Departments,http://www.co.ocean.nj.us/OCsheriff/,08753,,
1960 East Gypsy Lane Road,Bowling Green,United States,Wood,"Bowling Green, OH",Wood County Sheriff's Office,,419-354-9001,"130,500",Ohio,Sheriffs Departments,http://woodcountysheriff.com/,43402,419-354-9086,
100 College Park Office Building,Bowling Green,United States,Wood,"Bowling Green, OH",Bowling Green State University Police Department,24,419-372-2346,,Ohio,Police Departments,https://www.bgsu.edu/public-safety/bgsu-police.html,43403,,
"31 Green Street, #4",Newark,United States,Hudson,"Newark, NJ",Newark Chief of Police,,9737336520,,New Jersey,Headquarters,http://newarkpdonline.org/,07102,,
1009 Bergen St,Newark,United States,Hudson,"Newark, NJ",Newark Police Department,,973-733-3941,,New Jersey,Police Departments,http://newarkpdonline.org/,07112,,
509 S. Alton Blvd,Alton,United States,Hidalgo,"Alton, TX",Alton Police Department,21,(956) 432-0700,"16,800",Texas,Police Departments,https://alton-tx.gov/,78573,(956) 432-0711,
3165 King Ave E,Billings,United States,Yellowstone,"Billings, MT",Yellowstone County Detention Center,54,4062566881,180000,Montana,Corrections Center,http://co.yellowstone.mt.gov/sheriff/detention/dcsearch.asp,59102,,
PO Box 242,Rutland,United States,Worcester,"Rutland, MA",Rutland Police Department,20,508-886-4106,9094,Massachusetts,Police Departments,http://townofrutland.org/Pages/RutlandMA_Police/index,01543,508-886-4117,
104 South Front Street,Kansas,United States,Edgar,"Kansas, IL",Kansas Police Department,8,217-948-5621,850,Illinois,Police Departments,,61933,217-948-1066,POB 438
54 W Roosevelt Ave,Middletown,United States,Dauphin,"Middletown, PA",Office of the State Constable,1,7177362099,9000,Pennsylvania,County Constables,,17057,7179444324,
105 Courthouse,Mercer,United States,Mercer,"Mercer, PA",Mercer County Crisis Intervention Team,60,7244567785,Community,Pennsylvania,Criminal Justice Training Authority,,16137,,
204 E Main Street,Urbana,United States,Champaign,"Urbana, IL",Champaign County Sheriff's Office,54,2173841204,"210,000",Illinois,Sheriffs Departments,http://www.co.champaign.il.us/sheriff,61802,,
326 Main St,East Jordan,United States,Charlevoix,"East Jordan, MI",East Jordan,5,2315362273,"2,340",Michigan,Police Departments,http://eastjordancity.org/city/police-dept/,49727,,
433 12th Street,West Point,United States,King William County,"West Point, VA",West Point Police Department,11,804-843-2800,3300,Virginia,Police Departments,http://west-point.va.us/pages/department_services/police_department.php,23181,804-843-4161,PO Box 152
9101 Fayetteville Rd.,Raleigh,United States,Wake,"Raleigh, NC",Wake Tech Campus Police,26,919-866-5943,74000,North Carolina,Campus Police Department,https://www.waketech.edu/about-wake-tech/administrative-offices/campus-police,26703,919-866-7907,
208 Jarvis Street Suite B,Ridgeway,United States,Ridgeway,"Ridgeway, WI",Ridgeway Marshal's Office ,1,6089241030,652,Wisconsin,Marshals Department,https://www.villageofridgeway.com/,53582,,113 Doughrety Court - Clerk's Office  
2875 W. 10th Street,Greeley,United States,Weld,"Greeley, CO",Greeley Police Department,157,970-350-9605,"108,000",Colorado,Police Departments,https://greeleypd.com/,80634,970-350-9655,"Greeley, CO 80634"
3923 San Felipe St,Houston,United States,Harris,"Houston, TX",River Oaks Patrol,21,713-622-0001,"2,000",Texas,Security Agency,http://www.ropo.org/,77027,,
2701 E. 100th Street,Chicago,United States,Chicago,"Chicago, IL",AG Valley Railroad Police,16,7738496192,,Illinois,Police Departments,,60617,,
885 E. Chambers Ave.,Eagle,United States,Eagle,"Eagle, CO",Eagle County Sheriff's Office (CO),65,970-328-8500,"54,772",Colorado,Sheriffs Departments,https://www.eaglecounty.us/Sheriff/,81631,970-328-1448,PO Box 359
102 B South Holden,Warrensburg,United States,Johnson,"Warrensburg, MO",Warrensburg Police Department,36,660-747-9133,"19,800",Missouri,Police Departments,http://www.warrensburg-mo.com/,64093,660-747-1867,
1300 Cherry St,KANSAS City,United States,Jackson,"KANSAS City, MO",Jackson County Department of Corrections,218,816-881-4200,"698,895",Missouri,County Jails,,64106,816-881-6374,
540 Queen Street,Grifton,United States,Pitt County,"Grifton, NC",Grifton Police Department,9,252-524-4161,2600,North Carolina,Police Departments,http://www.grifton.com/government/departments/police/index.php,28530,252-524-4917,P.O. Box 579
Justice Building,Little Rock,United States,Pulaski,"Little Rock, AR",Arkansas Supreme Court Police Department,4,501-682-9400,,Arkansas,Police Departments,,72201,,625 Marshall St.
"9020 E. Globemaster Street, Suite 125",Tulsa,United States,Tulsa,"Tulsa, OK",Oklahoma Military Department Police,16,918-833-7138,750-3500,Oklahoma,Military Law Enforcement Agencies,,74115-1018,,
1300 Lange Court,Baraboo,United States,Sauk,"Baraboo, WI",Sauk County Sheriff's Office,,608-356-4895,,Wisconsin,Sheriffs Departments,https://www.co.sauk.wi.us/sheriffsoffice,53913,608-355-3298,
St. Charles County Police Department,O'Fallon,United States,Missouri,"O'Fallon, MO",ST CHARLES COUNTY POLICE,136,6369493005,"435,000",Missouri,Police Departments,https://www.sccmo.org/,63366,,101 Sheriff Dierker Ct
149 CR 517,Ignacio,United States,La Plata,"Ignacio, CO",Southern Ute Police Department,,970-563-0246,,Colorado,Police Departments,https://www.southernute-nsn.gov/justice-and-regulatory/supd/,81137,,
720 Central Ave,Anderson,United States,Madison,"Anderson, IN",Madison County Sheriff's Department (IN),,765-646-9290,,Indiana,Sheriffs Departments,http://www.sheriffofmadisoncounty.com/index.html,46016,,
600 Hemisfair Park #337,San Antonio,United States,Bexar,"San Antonio, TX",San Antonio Park Police,183,210-207-8590,1.5 million,Texas,Police Departments,https://www.sanantonio.gov/Park-Police,78205,210-207-8530,
12401 W Cinnabar Ave,El Mirage ,United States,Maricopa,"El Mirage , AZ",El Mirage Police Department,50,623-500-3000,"36,000",Arizona,Police Departments,http://www.elmirageaz.gov/322/Police-Department,85335,623-500-3001,
5401 North Martin Luther Kind Blvd,Lubbock,United States,Lubbock,"Lubbock, TX",Lubbock International Airport Police Department,1,8067752044,250000,Texas,Police Departments,,79423,,
213 N Clark ,Benavides,United States,Duval ,"Benavides, TX",Benavides police department,11,3612563283,2000,Texas,Police Departments,,78341,3612563915,Po drawer R
2200 Pennsylvania Ave NW,Washington,United States,,"Washington, DC",United States Special Police,13,202-600-4815,,District of Columbia,Police Departments,https://www.ussp.us,20037,,
7900 Forsyth,Clayton,United States,,"Clayton, MO",St. Louis County Police Department,1004,6365298210,,Missouri,Police Departments,,63105,,
19180 Shepard Lake Rd,Mt. Vernon,United States,Mobile,"Mt. Vernon, AL",Mt. Vernon Police Department,10,251-299-1087,1500,Alabama,Police Departments,https://mtvernonal.com/PoliceDepartment.html,36560,251-299-1088,
7309 State Route 81,"East Durham, NY",United States,Greene,"East Durham, NY",Town of Durham Police Department,7,518-239-6310,"2,725",New York,Police Departments,https://www.durhamny.com/departments/public-safety/police/durhampolice.html,12423,518-239-6794,
1852 E. 1st Street,Tucson,United States,Pima,"Tucson, AZ",University of Arizona Police Department,,5206218273,56000,Arizona,Police Departments,,85719,,
620 Benton Rd,Bossier City,United States,USA,"Bossier City, LA","Bossier City Police Department, Louisiana",140,3187418611,65000,Louisiana,Police Departments,,71111-3703,3187418613,
16940 Main St,Patton Village,United States,Montgomery,"Patton Village, TX",City of Patton Village Police Department,16,281-689-9511,2200,Texas,Police Departments,http://www.pattonvillagepolice.com,77372,,
215 E. Central Avenue,Bentonville,United States,Benton,"Bentonville, AR",Benton County Environmental Enforcement,3,479-271-1083,"249,672",Arkansas,Law Enforcement Associations,https://bentoncountyar.gov/environmental/,72712,,
1900 Beech Ave SE,Cullman,United States,Cullman,"Cullman, AL",Cullman County Sheriff's Office,,2567352400,,Alabama,Sheriffs Departments,https://www.cullmansheriff.org/,35055,,
3731 Lehigh Street,Whitehall,United States,Lehigh,"Whitehall, PA",Whitehall Township Police,48,610 437 3042,"27,500",Pennsylvania,Police Departments,http://www.whitehalltownship.org/police_about.html,18052,,
104 South Niagara ,Maquoketa,United States,Jackson,"Maquoketa, IA",Jackson County Sheriff's Office,11,563-652-3312,"19,848",Iowa,Sheriffs Departments,http://co.jackson.ia.us/,52060,563-652-0662,
1410 N. Oak Street,Valdosta,United States,Lowndes,"Valdosta, GA",Valdosta State University Police Department,30,229-333-7816,"12,000",Georgia,Campus Police Department,https://www.valdosta.edu/administration/finance-admin/police/,31698,229-249-4863,
"2 Martin Luther King, Jr. Drive SE ",Atlanta,United States,Fulton,"Atlanta, GA",Georgia Department of Community Supervision,"2,547",404-656-4661,"223,630",Georgia,Adult Probation & Parole,https://dcs.georgia.gov/,30334,404-463-0327,"Suite 458, East Tower"
89 West 8th Street,Holland,United States,Ottawa,"Holland, MI",Holland Department of Public Safety,,616-355-1100,,Michigan,Police Departments,,49423,616-355-1109,
1 Municipal Plz,Asbury park,United States,Mommouth ,"Asbury park, NJ",Asbury Park Police Department ,,7327741300,,New Jersey,Police Departments,http://www.cityofasburypark.com,07712,,
14999 E Alameda Pkwy,Aurora,United States,Arapahoe,"Aurora, CO",Aurora Marshal's Office,15,303-739-6444,"360,000",Colorado,Marshals Department,,80012,,
8600 University Blvd,Evansville,United States,Vanderburgh,"Evansville, IN",University of Southern Indiana Public Safety Office,,8124641815,,Indiana,Campus Police Department,https://www.usi.edu/security/,47712,8124651185,
766 B St.,Ceredo,United States,Wayne,"Ceredo, WV",Ceredo Police Department,6,304-453-1411,2500,West Virginia,Police Departments,https://www.ceredopolice.com,25507,304-453-4937,P.O. Box 691
1788 Yukon Drive,Fairbanks,United States,,"Fairbanks, AK",University of Alaska Fairbanks Police Department,8,907 474 7721,3500,Alaska,Police Departments,https://www.uaf.edu/police,99775,907 474 5555,
7000 Ne Airport way,Portland,United States,Multnomah,"Portland, OR",Port of Portland Police Department,42,503-460-4221,PDX international airport,Oregon,Police Departments,,97218,,
110 W. Court St. ,Sidney,United States,Shelby,"Sidney, OH",Sidney Municipal Court,6,937-498-0011,,Ohio,Adult Probation & Parole,http://www.sidneyoh.com/court/index.asp,45356,,
320 Waketon Road,Double Oak,United States,Denton,"Double Oak, TX",Double Oak Police Department (TX),10,972-355-5995,3000,Texas,Police Departments,http://www.double-oak.com,75077,,
2593 N. Railroad St,Winterville,United States,North Carolina,"Winterville, NC",Winterville Police Department,18,2527561105,"10,000",North Carolina,Police Departments,,28590,,
One Maurice Culberson Drive,Rome,United States,Georgia,"Rome, GA",Georgia Northwestern Technical College Police,20,866-983-4682,98000,Georgia,Campus Police Department,http://www.gntc.edu/,30161,,
114 Junction St,Tyronza,United States,Arkansas,"Tyronza, AR",Tyronza Police Department,4,8704872168,,Arkansas,Police Departments,,72386,,
235 Main Street,Addyston,United States,Hamilton,"Addyston, OH",Addyston Police Department,12,513-941-1313,1000,Ohio,Police Departments,http://www.addystonohio.org/public_safety.html,45001,513-941-2514,P.O. Box 536
131 Dick Street,Fayetteville,United States,Cumberland ,"Fayetteville, NC",Cumberland County Sheriff's Office,749,9103231500,"300,000",North Carolina,Sheriffs Departments,https://www.ccsonc.org,28301,,
540 Pier Ave,Hermosa Beach,United States,United States,"Hermosa Beach, CA",Hermosa Beach Police Department,,(310) 318-0360,,California,Police Departments,http://www.hermosabch.org/index.aspx?page=123,90254,,
Po box 1145,Hopkinsville,United States,Christian,"Hopkinsville, KY",District 8 County Constables,,2708818461,,Kentucky,County Constables,http://www.christiancountyky.gov/county-constables.htm,42240,,
P.O. Box 504,"Louisa, VA",United States,Louisa,"Louisa, VA",Louisa County Sheriff's Office,75,540-967-1234,"38,000",Virginia,Sheriffs Departments,https://www.louisacounty.com/210/Sheriff,23093,540-967-1604,1 Woolfolk Ave
300 Brownswitch Rd.,Slidell,United States,St. Tammany,"Slidell, LA",St. Tammany Parish Sheriff's Office (STPSO),750,(985) 726-8000,"250,000",Louisiana,Sheriffs Departments,https://stpso.com/,70458,,
72 Tannery Road,Downsville ,United States,Delaware ,"Downsville , NY",Town of Colchester ,8,607-363-2233,2800,New York,Police Departments,,13755,,
515 W. Moreland Blvd.,Waukesha,United States,Waukesha,"Waukesha, WI",Waukesha County Sheriff's Department,175,262-548-7122,"400,000",Wisconsin,Sheriffs Departments,https://www.waukeshacounty.gov/Sheriff,53188-2428,,
21 S. Brown St. Suite A,Lewistown,United States,Mifflin,"Lewistown, PA",Lewistown Borough Police Department,14,717-248-6716,"8,215",Pennsylvania,Police Departments,http://www.lewistownpolice.org/,17044,717-953-9524,
3527 Hwy 51 N,Senatobia,United States,Tate,"Senatobia, MS",Northwest Mississippi Community College Police Department ,16,662-562-3314,6000,Mississippi,Campus Police Department,,38668,,
5901 Main Street,Mount Jackson,United States,Virginia,"Mount Jackson, VA",Mount Jackson Police Department,6,540-477-2242,2000+,Virginia,Police Departments,,22842,,P.O. Box 487
"614 Division St, Port Orchard, WA 98366",PORT ORCHARD,United States,KITSAP,"PORT ORCHARD, WA",KITSAP COUNTY SHERIFF DEPARTMENT,,3603377101,,Washington,Sheriffs Departments,https://spf.kitsapgov.com/sheriff/Pages/default.aspx,98366,3603377054,
1429 Monroe St,Madison,United States,Dane,"Madison, WI",University of Wisconsin - Madison Police Department,75,6082642677,"65,000",Wisconsin,Campus Police Department,,53711,,
23501 Sumpter Road,Sumpter Township,United States,Wayne,"Sumpter Township, MI",Sumpter Township Police Department,14,734-461-4833,10000,Michigan,Police Departments,,48111,734-461-4840,
3200 E SD Hwy 34,Pierre,United States,Hughes,"Pierre, SD",Hughes County Sheriff's Office,6,605-773-7470,17555,South Dakota,Sheriffs Departments,https://hughescounty.org/departments/sheriff/,57501,605-773-7417,Suite 9
400 County Center,Redwood City,United States,San Mateo,"Redwood City, CA",San Mateo County Sheriff's Office,500,650-363-4000,"765,135",California,Sheriffs Departments,http://www.smcsheriff.com,94063,,
2500 S. Ervay St.,Dallas,United States,Dallas,"Dallas, TX",Dallas Schools Police Department,125,972-749-2300,"158,000",Texas,Police Departments,https://www.dallasisd.org/pd,75215,,
3339 Dobbins Road,Poland,United States,Mahoning,"Poland, OH",Poland Township Police,18,330-757-1549,"14,960",Ohio,Police Departments,https://polandtownship.com/,44514,,
1037 Capitol Ave.,Crowley,United States,Acadia,"Crowley, LA",Acadia Parish Sheriff's Office,150,337-788-8700,62500,Louisiana,Sheriffs Departments,http://www.apso.org,70526,,
700 Virginia Avenue,Alamogordo,United States,Otero,"Alamogordo, NM",Alamogordo Police Department,55,575-439-4300,"32,000",New Mexico,Police Departments,http://ci.alamogordo.nm.us/coa/Police_Department.htm,88310-6759,575-439-4320,
3135 Route 206,Columbus,United States,Burlington,"Columbus, NJ",Mansfield Township Police Department,15,609-298-4411,8500,New Jersey,Police Departments,http://www.mansfieldpd.org,08022,609-298-6625,Suite 3
3360 County Highway K,Hartford,United States,WI,"Hartford, WI",Hartford Township Police Department,8,262-673-7214 ext 4,"3,989",Wisconsin,Police Departments,http://www.tn.hartford.wi.gov/localgov_departments_details.asp?deptid=580&locid=182,53027,262-673-7066,
P.O. Box 390,Bull Shoals,United States,Arkansas,"Bull Shoals, AR",Bull Shoals PD,6,8704454775,2000,Arkansas,Police Departments,http://www.cityofbullshoals.org/,72619,8704454948,706 C.S. Woods Blvd.
844 US 42 N,Delaware,United States,Delaware,"Delaware, OH",Delaware County Sheriff's Office,100 plus,740-833-2800,193000,Ohio,Sheriffs Departments,http://www.delawarecountysheriff.com/,43015,740-833-2799,
9550 Helms Trail (#500),Talty,United States,Kaufman,"Talty, TX",Talty Police Department,6,972-552-9592,2500,Texas,Police Departments,http://www.taltytexas.com/,75126,,
226 Hwy 39,Ingram,United States,Kerr,"Ingram, TX",Ingram Police Department,6,830-367-2636,2000,Texas,Police Departments,http://www.ingrampolice.org/,78025,830-367-3251,
POB 7765,Horseshoe Bay,United States,Llano,"Horseshoe Bay, TX",Horseshoe Bay Police Department,19,8305982633,7000,Texas,Police Departments,https://www.horseshoe-bay-tx.gov/227/Police-Department,78657,8305984123,
700 Administration Drive,Louisville,United States,Jefferson,"Louisville, KY",Louisville Airport Police,45,502-380-8257,,Kentucky,Police Departments,http://www.flylouisville.com,40209,,
361 Lafayette Rd,Red Boiling Springs,United States,Macon,"Red Boiling Springs, TN",Red Boiling Springs Police Dept,5,615-699-2012,1200,Tennessee,Police Departments,http://www.maconcountytn.gov/community/city_of_red_boiling_springs.php,37150,615-699-2961,P.O. Box 190
35 Union Street ,Morrisville,United States,Bucks,"Morrisville, PA",Morrisville Borough,18,215-295-8112,"20,000",Pennsylvania,Police Departments,http://morrisvillepd.org,19067,215-295-8451, 
1500 Strongs Avenue,Stevens Point,United States,Portage,"Stevens Point, WI",Portage County Sheriff's Office,49,715-346-1400,"70,883",Wisconsin,Sheriffs Departments,http://www.co.portage.wi.us/department/sheriff-s-office,54481-3542,715-346-1591,
5900 S. Santa Fe Drive,Littleton,United States,Arapahoe,"Littleton, CO",Arapahoe Community College Police ,12,303-797-5800,"10,000",Colorado,Campus Police Department,https://www.arapahoe.edu/student-resources/campus-safety,80120,303-797-5600,
PO Box 998,Pascagoula,United States,Jackson,"Pascagoula, MS",Jackson County Sheriff's Department,225,228-769-3063,"141,000",Mississippi,Sheriffs Departments,https://www.co.jackson.ms.us/officials/sheriff/,39581,228-762-6168,3104 Magnolia St
104 E. Erie ,Painesville,United States,Lake,"Painesville, OH",Lake County Sheriff's Office,,440-350-5500,,Ohio,Sheriffs Departments,http://www.lakecountyohio.gov/Default.aspx?alias=www.lakecountyohio.gov/sheriffoffice,44077,,"Painesville, Ohio"
1 Community Park Rd,Bethlehem,United States,Ohio,"Bethlehem, WV",Bethlehem Police Department,10,3042339527,2500,West Virginia,Police Departments,,26003,3042312187,
201 W. 6th Street,Crane,United States,Crane,"Crane, TX",Crane County Sheriff's Office,7,432 558-3571,"4,100",Texas,Sheriffs Departments,http://www.co.crane.tx.us/default.aspx?Crane_County/Sheriff,79731,432-558-3743,P.O. Box 1175
4415 Memorial Drive,Decatur,United States,Dekalb,"Decatur, GA",Dekalb County Sheriff's Office,600,404-298-8100,"740,000",Georgia,Sheriffs Departments,http://www.dekalbsheriff.org,30032,404-298-8101,
309 E. 6th St. Jasper,Jasper ,United States,Dubois,"Jasper , IN",Jasper Police Department ,22,812-482-2255,15000,Indiana,Police Departments,,47546,812-482-9008,
12099 Government Center Pkwy,Fairfax,United States,Fairfax,"Fairfax, VA",Fairfax County Police Department,1400,703-691-2131,1400000,Virginia,County Police Departments,https://www.fairfaxcounty.gov/police/,22035,,
1 Municipal Place,Freehold,United States,Monmouth,"Freehold, NJ",Freehold Township NJ Police,63,7324627500,"40,000",New Jersey,Police Departments,,07728,7323089115,
2303 College Ave,Huntington,United States,Huntington ,"Huntington, IN",Huntington University Police Department,13,2603594035,,Indiana,Campus Police Department,https://www.huntington.edu/student-life/campus-police,46750,,
720 5th St,Alexandria,United States,Hanson,"Alexandria, SD",Hanson County Sheriff’s Office,3,6052394409,3300,South Dakota,Sheriffs Departments,,57311,6052394410,PO Box 97
1 Childrens Plaza,Dayton,United States,Montgomery,"Dayton, OH",Dayton Children's Hospital,,9376413000,,Ohio,Campus Police Department,,45404,,
4055 Sonoma Ranch Blvd,Las Cruces,United States,Dona Ana,"Las Cruces, NM",New Mexico Mounted Patrol,,5753231180,,New Mexico,Troop Locations,http://newmexicomountedpatrol.org,88011,,NMSP Building
8450 Highway 90,Bay St. Louis,United States,Hancock,"Bay St. Louis, MS",Hancock County Sheriff's Office,,2284666900,,Mississippi,Sheriffs Departments,,39520,2284664120,
100 N Grove St,Hendersonville,United States,Henderson,"Hendersonville, NC",Henderson County Sheriff's Office,225,8286974596,"101,000",North Carolina,Sheriffs Departments,http://www.hendersoncountync.org/sheriff/,28792,8286974613,
6320 W. 96th St,Los Angeles,United States,Los Angeles,"Los Angeles, CA",Los Angeles Airport Police,524,424-646-6100,"80,000,000",California,Police Departments,http://www.LAXPD.com,90045,,
379 Raven Drive,Hoonah,United States,,"Hoonah, AK",Hoonah Department of Public Safety,5,9079453655,800-3000,Alaska,Police Departments,http://www.cityofhoonah.org/publicsafety,99829,9079453658,P.O. Box 450
231 Third Street,Lakewood,United States,USA,"Lakewood, NJ",Lakewood Police Department,137,7323630200,"125,000",New Jersey,Police Departments,https://lakewoodpolicenj.com/,08701,7329944561,
30 W. Second Street,Beaver,United States,Beaver,"Beaver, OK",Beaver Police Department,2,580-625-3889,,Oklahoma,Police Departments,,73932,580-625-3074,
414 E Main St,Dewitt,United States,Clinton,"Dewitt, MI",City of Dewitt Police Department,12,5176699131,4700,Michigan,Police Departments,http://www.dewittmi.org/CityDepartments/PoliceDepa,48820,5176699018,
2525 NW 62 Street ,Miami ,United States,,"Miami , FL",Miami Dade Police,2000,7862637000,2.5 million,Florida,Police Departments,http://www.miamidade.gov/corrections/,33147,,
2525 NW 62 Street ,Miami ,United States,Miami Dade,"Miami , FL",Miami Dade Corrections,2000,7862637000,2.5 million,Florida,County Jails,http://www.miamidade.gov/corrections/,33147,,
3201 Lewis Ln,Paris,United States,Lamar,"Paris, TX",North Lamar ISD Police Department,4,9037372011,2800,Texas,Police Departments,http://www.northlamar.net,75460,9036690119,
80 Cohen Walker Drive,Warner Robins,United States,Houston (11 Counties),"Warner Robins, GA",Central Georgia Technical College Police,,4789886993,11 County Service Area,Georgia,Campus Police Department,http://www.centralgatech.edu,31088,,
2639 Corporate Ct,Orefield,United States,Lehigh,"Orefield, PA",Carbon Lehigh Intermediate Unit School Police Department,3,6107941300,400,Pennsylvania,Police Departments,http://www.cliu.org,18069,6107691154,
900 Clifton Ave,Clifton ,United States,Passaic,"Clifton , NJ",Clifton Police Department,160,9734705900,"85,000+",New Jersey,Police Departments,http://www.cliftonpolice.org,07013,,
2425 Minnehaha Ave ,Minneapolis,United States,Hennepin ,"Minneapolis, MN",Metro Transit ,111 FT / 76 PT / 12 CSO's / 16 Admin,6123497200,8 Counties / 85 Cities,Minnesota,Police Departments,http://www.metrotransit.org/transit-police,55404,,
602 S. Franklin Ave.,Cuba,United States,Crawford,"Cuba, MO",Cuba Police Department,13,5738857979,3400,Missouri,Police Departments,,65453,5738851449,
4335 Stuart Andrew Blvd,Charlotte,United States,Mecklenburg,"Charlotte, NC",Charlotte-Mecklenburg Schools Police Department,18,9803436030,"180,000",North Carolina,Police Departments,http://www.cms.k12.nc.us/cmsdepartments/safety/Sch,28227,9803436033,
3000 Wayne Memorial Dr.,Goldsboro,United States,Wayne,"Goldsboro, NC",Wayne Community College Campus Police,,9197397050,,North Carolina,Campus Police Department,,27534,,
2610 Wolf Village Way,Raleigh,United States,,"Raleigh, NC",North Carolina State University Police Department,56,9195153000,"50,000",North Carolina,Campus Police Department,http://campuspolice.ehps.ncsu.edu/,27695,,
5290 Grand Meadow Dr,Asbury,United States,Dubuque,"Asbury, IA",Asbury Police Department,5,5635851874,5500,Iowa,Police Departments,,52002,5635851875,
162 W Shawnee Ave,Plymouth,United States,Luzerne,"Plymouth, PA",Plymouth Borough Police Department ,10,5707792147,"6,000",Pennsylvania,Police Departments,,18651,5707790281,
128 N. Kansas Ave,Topeka,United States,Shawnee,"Topeka, KS",Kansas Lottery Security Department,5,7852965713,"Kansas Lottery vendors, retailers, players",Kansas,Police Departments,https://www.kslottery.com/,66604,7852913653,
"8035 E. RL Thornton Fwy., Ste. 150 ",Dallas,United States,Dallas,"Dallas, TX",Dallas County Schools Police Department,18,2149444546,100000,Texas,County Police Departments,http://www.dcschools.com/departments/police-depart,75228,2149156411,
3820 Cleveland Ave,Columbus,United States,Franklin County,"Columbus, OH",Clinton Township Police ,16,614-471-1480,4100,Ohio,Police Departments,,43224-2494,614-476-9700,
750 Bellevue Ave,Atwater,United States,Merced County,"Atwater, CA",Atwater Police Department,29,209-357-6396,23000,California,Police Departments,,95301-2859,209-358-5256,
17 West Main St #301,Madison,United States,Dane,"Madison, WI",Wisconsin State Capitol Police Department,64,6082667700,5.76 million,Wisconsin,Police Departments,http://www.doa.state.wi.us/Divisions/Capitol-Police,53703,,
Columbiana County Courthouse,Lisbon,United States,Columbiana,"Lisbon, OH",Columbiana County Prosecutor's Office,"18 sworn, 6 civilian",3304200140,"115,000",Ohio,Headquarters,,44432,3304240944,105 South Market Street
PO BOX 1853,Whiteriver,United States,,"Whiteriver, AZ",White Mountain Apache Game & Fish DPS Rangers,7,928-338-1025,1.6 Millions Acres,Arizona,Headquarters,http://www.wmapolice.com/,85941,928-338-0185,5 East Sycamore Street
415 West 1st Ave,Miller,United States,Hand,"Miller, SD",Hand County Sheriff's Office,3,6058532408,,South Dakota,Sheriffs Departments,,57362,6058532362,Ste 102
4501 Elmore Road,Anchorage,United States,Anchorage County,"Anchorage, AK",Anchorage Police Department,410,9077868500,"301,010",Alaska,Police Departments,http://www.muni.org/Departments/police/Pages/Defau,99507-1500,9077868538,
